rho_bins,bin,rat,event
0.0207443038336054,0.4375,rat12,shuff
0.0178234936055371,0.5375,rat12,shuff
0.014528464048101,0.6375,rat12,shuff
0.00959262681613658,0.7375,rat12,shuff
0.00159408212361712,0.8375,rat12,shuff
0.00420905138797985,0.9375,rat12,shuff
0.00859144940495553,1.0375,rat12,shuff
0.0104855029000306,1.1375,rat12,shuff
0.018650047019092,1.2375,rat12,shuff
0.0239612546851337,1.3375,rat12,shuff
0.0222339742385683,1.4375,rat12,shuff
0.0203270538126077,1.5375,rat12,shuff
0.00580116814212836,1.6375,rat12,shuff
-0.0104244125738626,1.7375,rat12,shuff
-0.0187062015204604,1.8375,rat12,shuff
-0.0308354476597218,1.9375,rat12,shuff
-0.0393626053840643,2.0375,rat12,shuff
-0.0490215436056006,2.1375,rat12,shuff
-0.0618208778868105,2.2375,rat12,shuff
-0.0732842064442663,2.3375,rat12,shuff
-0.0744299089370667,2.4375,rat12,shuff
-0.0646613359915568,2.5375,rat12,shuff
-0.055041814584353,2.6375,rat12,shuff
-0.0464887331211119,2.7375,rat12,shuff
-0.0354280206984424,2.8375,rat12,shuff
-0.0475035067453612,2.9375,rat12,shuff
-0.0612917808921971,3.0375,rat12,shuff
-0.0550151245535863,3.1375,rat12,shuff
-0.0586863913722751,3.2375,rat12,shuff
-0.0586532579686586,3.3375,rat12,shuff
-0.0593756609395575,3.4375,rat12,shuff
-0.0527318056502751,3.5375,rat12,shuff
-0.0189188440639715,3.6375,rat12,shuff
-0.00524103671949718,3.7375,rat12,shuff
-0.00751145207071959,3.8375,rat12,shuff
-0.00176350101328739,3.9375,rat12,shuff
0.0100950898109994,4.0375,rat12,shuff
0.0293014121024666,4.1375,rat12,shuff
0.0196887072182207,4.2375,rat12,shuff
0.0170122554540409,4.3375,rat12,shuff
0.0121650832312693,4.4375,rat12,shuff
0.00167754580476176,4.5375,rat12,shuff
0.0228309666199714,4.6375,rat12,shuff
0.0410716465027068,4.7375,rat12,shuff
0.0407399336687832,4.8375,rat12,shuff
0.033455776588174,4.9375,rat12,shuff
0.0112130824036829,0.0375,rat13,shuff
0.024662758507737,0.1375,rat13,shuff
0.019105131094081,0.2375,rat13,shuff
-9.40600979170722e-05,0.3375,rat13,shuff
-0.011913018178916,0.4375,rat13,shuff
0.00512530423472303,0.5375,rat13,shuff
0.0243599651511257,0.6375,rat13,shuff
0.0202844101666204,0.7375,rat13,shuff
0.00547618986737405,0.8375,rat13,shuff
0.00998345473226738,0.9375,rat13,shuff
0.0197352657909982,1.0375,rat13,shuff
0.0167413626995647,1.1375,rat13,shuff
0.00792173354412673,1.2375,rat13,shuff
0.0209566385448472,1.3375,rat13,shuff
0.0405345367732591,1.4375,rat13,shuff
0.0324677333191197,1.5375,rat13,shuff
