sex,relday,stage,stageday,subject,GroupCount,aucvalues,led,cue,last10days
F,9,5,5,rat2,201,3.677987414,dff,NS,3
F,10,5,1,rat9,201,3.066718602,dff,NS,NaN
F,10,5,4,rat12,201,3.129038801,dff,NS,4
F,10,5,6,rat2,201,3.79459737,dff,NS,4
F,11,5,2,rat9,201,1.773168109,dff,NS,NaN
F,11,5,5,rat12,201,1.856382227,dff,NS,5
F,11,5,7,rat2,201,6.219671467,dff,NS,5
F,12,5,1,rat16,201,3.902374826,dff,NS,NaN
F,12,5,1,rat4,201,1.891149343,dff,NS,NaN
F,12,5,1,rat5,201,1.476338483,dff,NS,NaN
F,12,5,3,rat9,201,0.753043597,dff,NS,NaN
F,12,5,6,rat12,201,4.294958871,dff,NS,6
F,12,5,8,rat2,201,5.223326574,dff,NS,6
F,13,5,2,rat16,201,2.359572767,dff,NS,NaN
F,13,5,2,rat4,201,2.665753023,dff,NS,NaN
F,13,5,2,rat5,201,2.417202259,dff,NS,NaN
F,13,5,4,rat9,201,0.816830991,dff,NS,NaN
F,13,5,7,rat12,201,4.125255609,dff,NS,7
F,13,5,9,rat2,201,3.883392991,dff,NS,7
F,14,5,3,rat16,201,2.283615046,dff,NS,NaN
F,14,5,3,rat4,201,-1.275095457,dff,NS,1
F,14,5,3,rat5,201,2.023191455,dff,NS,NaN
F,14,5,5,rat9,201,2.594465371,dff,NS,NaN
F,14,5,8,rat12,201,2.14437226,dff,NS,8
F,14,5,10,rat2,201,2.917131888,dff,NS,8
F,15,5,4,rat16,201,4.719946484,dff,NS,NaN
F,15,5,4,rat4,201,2.567728138,dff,NS,2
F,15,5,4,rat5,201,5.739649596,dff,NS,NaN
F,15,5,6,rat9,201,2.673508658,dff,NS,NaN
F,15,5,11,rat2,201,3.981153606,dff,NS,9
F,16,5,5,rat16,201,4.971263301,dff,NS,NaN
F,16,5,5,rat4,201,2.871847428,dff,NS,3
F,16,5,5,rat5,201,3.518615096,dff,NS,NaN
F,16,5,7,rat9,201,1.662289141,dff,NS,1
F,16,5,12,rat2,201,2.460578559,dff,NS,10
F,17,5,6,rat16,201,12.19461827,dff,NS,NaN
F,17,5,6,rat4,201,-0.86716259,dff,NS,4
F,17,5,6,rat5,201,3.523601461,dff,NS,NaN
F,17,5,8,rat9,201,2.165344823,dff,NS,2
F,18,5,7,rat16,201,3.111741581,dff,NS,1
F,18,5,7,rat4,201,2.002006721,dff,NS,5
F,18,5,7,rat5,201,5.653251137,dff,NS,NaN
F,18,5,9,rat9,201,2.464579111,dff,NS,3
F,19,5,8,rat16,201,6.772964583,dff,NS,2
F,19,5,8,rat4,201,0.901676498,dff,NS,6
F,19,5,8,rat5,201,1.724046446,dff,NS,1
F,19,5,10,rat9,201,0.651793871,dff,NS,4
F,20,5,9,rat16,201,3.525915618,dff,NS,3
F,20,5,9,rat4,201,4.855914147,dff,NS,7
F,20,5,9,rat5,201,2.494950224,dff,NS,2
F,20,5,11,rat9,201,2.159132846,dff,NS,5
F,21,5,10,rat16,201,7.606853285,dff,NS,4
F,21,5,10,rat4,201,-0.355467368,dff,NS,8
F,21,5,10,rat5,201,1.390016498,dff,NS,3
F,21,5,12,rat9,201,0.657574229,dff,NS,6
F,22,5,11,rat16,201,0.653210308,dff,NS,5
F,22,5,11,rat4,201,1.118378574,dff,NS,9
F,22,5,11,rat5,201,1.055533568,dff,NS,4
F,22,5,13,rat9,201,1.32084243,dff,NS,7
F,23,5,12,rat16,201,3.597946271,dff,NS,6
F,23,5,12,rat4,201,1.554294435,dff,NS,10
F,23,5,12,rat5,201,4.968055331,dff,NS,5
F,23,5,14,rat9,201,1.513626522,dff,NS,8
F,24,5,13,rat16,201,1.828301421,dff,NS,7
F,24,5,13,rat5,201,0.411944205,dff,NS,6
F,24,5,15,rat9,201,1.076136742,dff,NS,9
F,25,5,14,rat16,201,2.164208956,dff,NS,8
F,25,5,14,rat5,201,2.269416238,dff,NS,7
F,25,5,16,rat9,201,0.339745588,dff,NS,10
F,26,5,15,rat16,201,6.864466714,dff,NS,9
F,26,5,15,rat5,201,1.958265692,dff,NS,8
F,27,5,16,rat16,201,6.915901154,dff,NS,10
F,27,5,16,rat5,201,4.038331516,dff,NS,9
F,28,5,17,rat5,201,0.967125935,dff,NS,10
M,6,5,1,rat13,201,0.600108368,dff,NS,1
M,7,5,2,rat13,201,0.614762038,dff,NS,2
M,8,5,3,rat13,201,0.39078409,dff,NS,3
M,9,5,1,rat10,201,0.015924085,dff,NS,1
M,9,5,1,rat6,201,2.227802554,dff,NS,NaN
M,9,5,1,rat7,201,3.787052079,dff,NS,NaN
M,9,5,4,rat13,201,-0.472247454,dff,NS,4
M,10,5,1,rat11,201,0.499799931,dff,NS,1
M,10,5,1,rat15,201,1.317182841,dff,NS,NaN
M,10,5,2,rat10,201,2.322377492,dff,NS,2
M,10,5,2,rat6,201,1.537125979,dff,NS,NaN
M,10,5,2,rat7,201,3.493989624,dff,NS,NaN
M,10,5,5,rat13,201,1.812485083,dff,NS,5
M,11,5,2,rat11,201,2.706579934,dff,NS,2
M,11,5,2,rat15,201,4.464528885,dff,NS,NaN
M,11,5,3,rat10,201,2.137195455,dff,NS,3
M,11,5,3,rat6,201,2.354882706,dff,NS,1
M,11,5,3,rat7,201,3.218354017,dff,NS,1
M,11,5,6,rat13,201,0.568733239,dff,NS,6
M,12,5,3,rat11,201,3.508135724,dff,NS,3
M,12,5,3,rat15,201,3.840880895,dff,NS,NaN
M,12,5,4,rat6,201,2.919932807,dff,NS,2
M,12,5,4,rat7,201,2.734838105,dff,NS,2
M,12,5,7,rat13,201,-0.159238619,dff,NS,7
M,13,5,4,rat11,201,1.273654062,dff,NS,4
M,13,5,4,rat15,201,3.571505103,dff,NS,1
M,13,5,5,rat6,201,0.479475449,dff,NS,3
M,13,5,5,rat7,201,1.970504527,dff,NS,3
M,13,5,8,rat13,201,-0.271040656,dff,NS,8
M,14,5,5,rat11,201,2.155515252,dff,NS,5
M,14,5,5,rat15,201,4.781627627,dff,NS,2
M,14,5,6,rat6,201,2.881628526,dff,NS,4
M,14,5,6,rat7,201,3.553864283,dff,NS,4
M,15,5,6,rat11,201,1.4505538,dff,NS,6
M,15,5,6,rat15,201,1.848997617,dff,NS,3
M,15,5,7,rat6,201,0.684521717,dff,NS,5
M,15,5,7,rat7,201,1.710295294,dff,NS,5
M,16,5,7,rat11,201,4.018033944,dff,NS,7
M,16,5,7,rat15,201,1.276881637,dff,NS,4
M,16,5,8,rat6,201,1.144878717,dff,NS,6
M,16,5,8,rat7,201,-0.270085923,dff,NS,6
M,17,5,8,rat11,201,5.992744442,dff,NS,8
M,17,5,8,rat15,201,1.398051054,dff,NS,5
M,17,5,9,rat6,201,-0.490090467,dff,NS,7
M,17,5,9,rat7,201,0.61754212,dff,NS,7
M,18,5,9,rat15,201,-0.355428005,dff,NS,6
M,18,5,10,rat6,201,-3.090491284,dff,NS,8
M,18,5,10,rat7,201,2.265902212,dff,NS,8
M,19,5,10,rat15,201,1.912964249,dff,NS,7
M,19,5,11,rat6,201,0.171236246,dff,NS,9
M,19,5,11,rat7,201,2.365840737,dff,NS,9
M,20,5,11,rat15,201,0.815013763,dff,NS,8
M,20,5,12,rat6,201,-0.471042224,dff,NS,10
M,20,5,12,rat7,201,1.58043022,dff,NS,10
M,21,5,12,rat15,201,4.404248023,dff,NS,9
M,22,5,13,rat15,201,1.701617313,dff,NS,10
