subj,stage,stageday,GroupCount,mean_x,mean_y
rat4,5,3,30,14,0.933333333333333
rat4,5,4,30,15,0.966666666666668
rat4,5,5,30,16,0.933333333333333
rat4,5,6,30,17,0.966666666666668
rat4,5,7,30,18,0.866666666666667
rat4,5,8,30,19,0.8
rat4,5,9,30,20,0.833333333333332
rat4,5,10,30,21,0.96551724137931
rat4,5,11,30,22,1
rat4,5,12,30,23,0.933333333333333
rat4,6,1,30,24,1
rat4,6,2,30,25,1
rat4,7,1,30,26,0.966666666666668
rat4,7,2,30,27,0.933333333333333
rat4,8,1,29,28,1
rat4,8,2,30,29,1
rat5,1,1,30,1,0.2
rat5,2,1,30,2,0.137931034482759
rat5,2,2,30,3,0.233333333333333
rat5,3,1,30,4,0.344827586206897
rat5,4,1,30,5,0.0526315789473684
rat5,4,2,30,6,0.25
rat5,4,3,30,7,0.37037037037037
rat5,4,4,30,8,0.185185185185185
rat5,4,5,30,9,0.4
rat5,4,6,30,10,0.518518518518518
rat5,4,7,30,11,0.724137931034483
rat5,5,1,30,12,0.5
rat5,5,2,30,13,0.586206896551724
rat5,5,3,30,14,0.482758620689655
rat5,5,4,30,15,0.533333333333333
rat5,5,5,30,16,0.7
rat5,5,6,30,17,0.8
rat5,5,7,30,18,0.9
rat5,5,8,30,19,0.666666666666668
rat5,5,9,30,20,0.933333333333333
rat5,5,10,30,21,0.733333333333333
rat5,5,11,30,22,0.866666666666667
rat5,5,12,30,23,0.833333333333332
rat5,5,13,30,24,0.9
rat5,5,14,30,25,1
rat5,5,15,30,26,0.933333333333333
rat5,5,16,30,27,0.933333333333333
rat5,5,17,30,28,1
rat5,6,1,30,29,0.966666666666668
rat5,6,2,30,30,1
rat5,7,1,30,31,0.833333333333332
rat5,7,2,30,32,0.933333333333333
rat5,8,1,29,33,0.92857142857143
rat5,8,2,30,34,0.933333333333333
rat6,1,1,30,1,0.448275862068966
rat6,2,1,30,2,0.333333333333333
rat6,3,1,30,3,0.466666666666667
rat6,4,1,30,4,0.448275862068966
rat6,4,2,30,5,0.28
rat6,4,3,30,6,0.566666666666667
rat6,4,4,30,7,0.655172413793103
rat6,4,5,30,8,0.733333333333333
rat6,5,1,30,9,0.7
rat6,5,2,30,10,0.733333333333333
rat6,5,3,30,11,0.833333333333332
rat6,5,4,30,12,0.6
rat6,5,5,30,13,0.733333333333333
rat6,5,6,30,14,0.8
rat6,5,7,30,15,0.793103448275862
rat6,5,8,30,16,0.793103448275862
rat6,5,9,30,17,0.8
rat6,5,10,30,18,0.758620689655172
rat6,5,11,30,19,0.7
rat6,5,12,30,20,0.733333333333333
rat6,6,1,30,21,0.75
rat6,6,2,30,22,0.75
rat6,7,1,30,23,0.766666666666667
rat6,7,2,30,24,0.933333333333333
rat6,8,1,29,25,0.96551724137931
rat6,8,2,30,26,1
rat7,1,1,30,1,0.333333333333333
rat7,2,1,30,2,0.4
rat7,3,1,30,3,0.4
rat7,4,1,30,4,0.407407407407407
rat7,4,2,30,5,0.5
rat7,4,3,30,6,0.620689655172414
rat7,4,4,30,7,0.533333333333333
rat7,4,5,30,8,0.551724137931034
rat7,5,1,30,9,0.533333333333333
rat7,5,2,30,10,0.793103448275862
rat7,5,3,30,11,0.8
rat7,5,4,30,12,0.9
rat7,5,5,30,13,0.833333333333332
rat7,5,6,30,14,0.866666666666667
rat7,5,7,30,15,0.93103448275862
rat7,5,8,30,16,0.833333333333332
rat7,5,9,30,17,0.666666666666668
rat7,5,10,30,18,0.933333333333333
rat7,5,11,30,19,0.933333333333333
rat7,5,12,30,20,0.833333333333332
rat7,6,1,30,21,0.933333333333333
rat7,6,2,30,22,0.9
rat7,7,1,30,23,1
rat7,7,2,30,24,1
rat7,8,1,29,25,1
rat7,8,2,30,26,0.866666666666667
rat8,1,1,30,1,0.466666666666667
rat8,2,1,30,2,0.333333333333333
rat8,3,1,30,3,0.533333333333333
rat8,4,1,30,4,0.733333333333333
rat8,4,2,30,5,0.733333333333333
rat8,4,3,30,6,0.933333333333333
rat8,4,4,30,7,1
rat8,4,5,30,8,0.933333333333333
rat8,4,6,30,9,0.866666666666667
rat8,4,7,30,10,0.9
rat8,4,8,30,11,0.966666666666668
rat8,5,1,30,12,0.9
rat8,5,2,30,13,0.966666666666668
rat8,5,3,30,14,0.9
rat8,5,4,30,15,0.966666666666668
rat8,5,5,30,16,0.966666666666668
rat8,5,6,30,17,0.933333333333333
rat8,5,7,30,18,1
rat8,5,8,30,19,1
rat8,5,9,30,20,0.933333333333333
rat8,5,10,30,21,0.933333333333333
rat8,5,11,30,22,0.9
rat8,5,12,30,23,1
rat8,5,13,30,24,0.933333333333333
rat8,5,14,30,25,0.933333333333333
rat8,5,15,30,26,0.966666666666668
rat8,5,16,30,27,1
rat8,5,17,30,28,1
rat8,5,18,30,29,0.966666666666668
rat8,5,19,30,30,0.896551724137931
rat8,5,20,30,31,0.966666666666668
rat8,6,1,30,32,0.933333333333333
rat8,6,2,30,33,1
rat8,6,3,30,34,1
rat8,6,4,30,35,0.733333333333333
rat8,6,5,30,36,0.9
rat8,7,1,30,37,0.933333333333333
rat8,7,2,30,38,0.9
rat8,7,3,30,39,0.966666666666668
rat9,1,1,30,1,0.333333333333333
rat9,2,1,30,2,0.366666666666667
rat9,3,1,30,3,0.533333333333333
rat9,4,1,30,4,0.285714285714286
rat9,4,2,30,5,0.241379310344828
rat9,4,3,30,6,0.433333333333333
rat9,4,4,30,7,0.413793103448276
rat9,4,5,30,8,0.379310344827586
rat9,4,6,30,9,0.633333333333333
rat9,5,1,30,10,0.533333333333333
rat9,5,2,30,11,0.566666666666667
rat9,5,3,30,12,0.766666666666667
rat9,5,4,30,13,0.833333333333332
rat9,5,5,30,14,0.833333333333332
rat9,5,6,30,15,0.833333333333332
rat9,5,7,30,16,0.793103448275862
rat9,5,8,30,17,0.8
rat9,5,9,30,18,0.866666666666667
rat9,5,10,30,19,0.433333333333333
rat9,5,11,30,20,0.833333333333332
rat9,5,12,30,21,0.966666666666668
rat9,5,13,30,22,0.866666666666667
rat9,5,14,30,23,0.966666666666668
rat9,5,15,30,24,1
rat9,5,16,30,25,0.966666666666668
rat9,6,1,30,26,0.8
rat9,6,2,30,27,1
rat9,7,1,30,28,0.966666666666668
rat9,8,1,30,29,0.933333333333333
rat9,8,2,30,30,0.833333333333332
rat9,8,3,30,31,0.933333333333333
rat9,9,1,30,32,0.766666666666667
rat9,9,2,30,33,0.413793103448276
rat9,9,3,30,34,0.233333333333333
